HR2,G,NETRAD,SC,SLE,SH,SG
0.25,-6.67124127326713,-50.3405731728304,0.553035531207741,-0.889614438234557,-2.27277489265363,-5.63519325106497
0.75,-7.17979342903477,-49.7595896079115,0.544935524962974,-0.818444250669762,-2.20596068190863,-5.93984404119827
1.25,-7.44347339743757,-49.0344242092754,0.412262819521775,-0.901380363485489,-2.02050721386983,-6.04978900434996
1.75,-7.73714283728961,-48.3044906329857,0.403341488719241,-0.781099122209792,-1.9013173113206,-6.4246619254473
2.25,-7.9338788228064,-47.6760114530646,0.483356204396699,-0.92624208664256,-1.74481127591529,-6.64721332522989
2.75,-8.16249672161909,-46.9403274673924,0.549974018909325,-0.759687730310808,-1.66728638038528,-6.75710973470307
3.25,-8.29585258190635,-46.1030598762363,0.395658119564554,-0.762443887603617,-1.50314916810162,-6.83685838288871
3.75,-8.41306052069819,-44.8437834579258,0.437456301311946,-0.706008378366846,-1.37236267649626,-6.84119306910018
4.25,-8.48893233082044,-42.9774413582733,0.278597186309866,-0.607026017200288,-1.16396720467476,-6.51278365478476
4.75,-8.51585632445659,-37.6155493236669,0.184864510513891,-0.181271598939604,-0.556706437593991,-5.98571053428474
5.25,-8.27125228789797,-23.461852960641,-0.0894963298792248,0.990990613465838,0.797778198167974,-5.02438283910982
5.75,-7.76035776860417,3.56752775666097,-0.595053717494934,2.87515062960261,3.24979466941869,-3.70058470074999
6.25,-6.29329022124351,46.3870679083027,-1.23013432179326,4.98304914546589,6.28582638456386,-0.839878436091746
6.75,-4.13543939616603,103.091817558799,-1.6742597628594,5.37949949847246,8.19426735125723,3.21925189006973
7.25,-1.04196454375988,168.301284839651,-1.81590812761888,4.50570303549819,9.07551467574128,7.08479860200308
7.75,1.99249936406191,237.210077080626,-1.68851914234525,2.6535698652416,8.85118812797602,10.7829119287364
8.25,5.37020371157672,306.511454401579,-1.43240845670686,1.69269968829673,8.21732423218524,14.3429081990581
8.75,8.99596228056293,370.769514517538,-1.21110831327269,0.9271574823927,7.53428105144295,17.8374722780093
9.25,13.0917491141273,431.027793300705,-0.954036615327899,-0.00577137881656018,6.9893460569704,20.8345371482229
9.75,16.8812862414011,483.484568596447,-0.787024476658953,-0.901105864285967,6.30080276936383,24.7403481369192
10.25,20.5257530595951,524.992662478906,-0.569170093900184,-1.05186806867688,5.63513965867378,27.8192535580399
10.75,24.0336371687956,556.024011715969,-0.434436854686987,-0.707960104827653,5.12963890902263,30.397851294674
11.25,27.0749457229211,575.871811793332,-0.315939399860404,-0.876632157101249,4.58832533142204,31.8456511528624
11.75,29.5246125934446,587.136657979022,-0.274798862830083,-0.891582584993272,4.09716632205146,33.4279712716672
12.25,31.6151307847471,586.110190049387,-0.210325177159568,-1.2597707576153,3.47191333430934,32.8436447480865
12.75,32.6776101962449,576.571932166889,-0.152940213518455,-0.409082813396047,2.99701547845581,30.800516075009
13.25,32.8931828923815,558.891772884654,-0.131416332562232,-0.562091030995567,2.49366935873889,27.4891847508063
13.75,32.0922578708045,532.822281745107,-0.117490107171113,-0.49921067295893,1.89199102159456,25.052600954073
14.25,30.8639037289762,498.893073412005,-0.0610286694084764,0.0448632404550446,1.46462348330249,22.6567754687039
14.75,28.7131785653967,458.144171940264,-0.0159044473626715,-0.315530113270515,0.931619291298372,20.5843406883206
15.25,26.2334610743535,407.583330363562,-0.0260850538104511,0.155254512162888,0.3203067872581,18.5170560163112
15.75,23.6901655896225,351.877265088621,-0.00476090085392554,0.61259562788236,-0.56559518480275,16.6844199464557
16.25,20.7417325777003,291.967349073725,0.0552514678821144,0.782885235709007,-0.946979700279768,14.9119666125341
16.75,18.0788282083323,229.739331371858,0.12107940987515,1.20180597838675,-1.87183176974101,13.2840640401518
17.25,15.0756125932703,167.346845308498,0.194904109513794,1.19329189681611,-2.62289404754115,11.2561023495327
17.75,11.9167268667077,105.408719609519,0.327534437008782,1.50027188434765,-3.47554978863088,9.2361054475962
18.25,9.11384856201267,49.5384092055639,0.471887465682086,1.4322766615591,-4.74904767369187,7.54752605781259
18.75,6.40603061989259,4.60858479926725,0.735735097607875,1.2234168249483,-6.26209242466109,5.90435871771322
19.25,3.87257722350063,-26.8278032691174,1.00875362995366,0.266635608957472,-7.13467069933619,4.26269879881646
19.75,1.51169481532617,-43.8229441516184,1.22099190301181,-0.749998982174857,-6.69283880663384,2.13023817044937
20.25,-0.452839487830165,-50.0021616149585,1.18475248680245,-1.17376825684128,-5.50987656246043,0.205321814944388
20.75,-2.03005191556768,-52.2922538547849,1.06135513973691,-0.966955983117236,-4.58240153301361,-0.94373157702485
21.25,-3.26786222637674,-52.9687873173179,0.826609871404941,-1.1650207226243,-4.10516702446003,-1.75089514928192
21.75,-4.2239247348249,-52.9085093597214,0.86829772502971,-0.789641536697995,-3.61857515109258,-2.61162925731405
22.25,-4.9464280261081,-52.5366165553461,0.716124762971658,-0.973424474906884,-3.37175309004393,-3.4072323984453
22.75,-5.55432245750417,-52.1785147206465,0.697869955690393,-1.03899447420686,-2.90590229728641,-4.10158183557798
23.25,-6.0551942919737,-51.6860220382904,0.667192230820024,-0.858837000517416,-2.71015201654204,-4.67747364949898
23.75,-6.47637349547402,-50.9754806053329,0.590992858225449,-0.944971387078526,-2.42322664568841,-5.25047506992589
